team,P(R16),P(QF),P(SF),P(Final),P(Win)
Brazil,1.0,0.80058,0.51962,0.3093,0.1878
Argentina,0.91696,0.75564,0.53864,0.3065,0.18738
Spain,0.8138,0.53614,0.41368,0.27968,0.15924
France,0.76468,0.58768,0.43284,0.2489,0.12906
England,0.86976,0.59372,0.28882,0.15622,0.0841
Colombia,0.8254,0.53876,0.23878,0.1043,0.05102
Portugal,0.63448,0.28194,0.18996,0.1095,0.0492
Morocco,1.0,0.66444,0.28224,0.10866,0.03646
Belgium,0.67326,0.48666,0.18646,0.09524,0.0358
Switzerland,0.63922,0.28986,0.09984,0.03188,0.0112
Croatia,0.36552,0.12214,0.06838,0.02972,0.01048
Paraguay,1.0,0.29012,0.13596,0.0399,0.01
Mexico,0.5116,0.19068,0.05912,0.02158,0.0076
Ecuador,0.4884,0.18212,0.0566,0.02028,0.007
Norway,0.57612,0.12698,0.04906,0.01594,0.00536
Senegal,0.32674,0.18444,0.04634,0.01748,0.00444
Sweden,0.23532,0.1222,0.05952,0.01888,0.00442
United States,0.6598,0.24668,0.0565,0.01858,0.0042
Canada,1.0,0.33556,0.08944,0.0206,0.00368
Australia,0.53356,0.11692,0.04258,0.01076,0.00328
Austria,0.1862,0.05978,0.02676,0.01026,0.00246
Egypt,0.46644,0.09948,0.03618,0.0081,0.00202
Algeria,0.36078,0.12228,0.03044,0.00694,0.00172
Ivory Coast,0.42388,0.07244,0.02192,0.00564,0.00142
Bosnia and Herzegovina,0.3402,0.08222,0.01192,0.0026,0.00028
Cape Verde,0.08304,0.02796,0.00564,0.00084,0.00014
Ghana,0.1746,0.0491,0.0079,0.00098,0.00012
DR Congo,0.13024,0.03348,0.00486,0.00074,0.00012
Netherlands,0.0,0.0,0.0,0.0,0.0
Japan,0.0,0.0,0.0,0.0,0.0
South Africa,0.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0
